Name,Age,GPA,Sports_Played,Credits_Completed,Major,Year
Josh Jones,17,4.14,1,56,Construction,Senior
Nate Anderson,15,2.03,1,50,Early College,Freshman
Azria Johnson,16,3.95,0,37,Culinary,Senior
Vihaan Smith,14,1.56,0,0,Computer Science,Sophomore
Abby Wilson,17,1.02,0,19,Marketing,Sophomore
Manny Gonzalez,18,0.57,3,20,Early Childhood Education,Sophomore
Josh Hernandez,19,4.24,0,59,Business,Sophomore
Cal Hernandez,15,3.82,0,15,Construction,Freshman
Sam Lopez,15,4.31,3,59,Bio Med,Senior
Sujay Brown,17,3.62,3,35,Early College,Freshman
Cal Smith,14,2.42,1,2,Construction,Sophomore
Cal Smith,17,1.39,0,14,Criminal Justice,Sophomore
Gavin Smith,19,2.87,3,56,Engineering,Sophomore
Avery Brown,15,1.98,3,26,Early Childhood Education,Junior
Abby Smith,15,1.84,1,42,Bio Med,Senior
Abby Martin,18,1.26,3,36,Culinary,Sophomore
Abby Johnson,14,2.76,2,42,Marketing,Sophomore
Abby Garcia,18,2.86,2,37,Computer Science,Senior
Emm Anderson,19,0.59,0,42,Culinary,Sophomore
Gavin Moore,14,2.87,2,60,Engineering,Senior
Emm Lopez,15,2.71,3,40,Engineering,Junior
Azria Garcia,16,3.1,2,19,Culinary,Senior
Cal Anderson,18,1.81,2,26,Engineering,Junior
Sam Williams,14,0.81,0,60,Bio Med,Freshman
Kelsey Williams,16,2.26,2,48,Bio Med,Junior
Gavin Wilson,17,1.12,1,51,Bio Med,Junior
Kelsey Jackson,15,3.31,0,27,Early College,Sophomore
Sam Garcia,16,2.83,3,33,Early Childhood Education,Sophomore
Gavin Taylor,19,3.64,2,13,Bio Med,Senior
Abby Johnson,14,2.98,1,8,Criminal Justice,Sophomore
Dutch Taylor,18,3.78,0,29,Culinary,Sophomore
Alice Martinez,17,1.25,0,9,Criminal Justice,Sophomore
Kelsey Hernandez,18,0.32,3,28,Early Childhood Education,Senior
Nate Brown,14,2.28,1,19,Early Childhood Education,Sophomore
Kelsey Johnson,15,3.46,2,26,Early College,Sophomore
Cal Martinez,15,1.54,1,5,Business,Sophomore
Cal Rodriguez,14,3.27,3,51,Marketing,Senior
Alice Martin,17,2.68,1,47,Computer Science,Sophomore
Josh Rodriguez,18,3.18,2,32,Culinary,Junior
Joe Rodriguez,16,2.37,2,18,Construction,Freshman
Avery Davis,15,4.4,2,60,Business,Freshman
Sujay Moore,18,0.39,0,5,Early Childhood Education,Junior
Joe Garcia,17,2.63,3,20,Early Childhood Education,Senior
Sujay Taylor,15,2.07,1,25,Culinary,Junior
Avery Martin,19,3.19,1,60,Early Childhood Education,Senior
Sam Miller,17,1.37,1,2,Computer Science,Senior
Vihaan Martin,14,1.76,2,48,Engineering,Freshman
Vihaan Lopez,19,2.58,1,8,Early Childhood Education,Sophomore
Cal Rodriguez,19,1.86,1,16,Marketing,Senior
Gavin Hernandez,14,1.43,1,53,Early Childhood Education,Sophomore
Emm Lopez,17,3.99,1,43,Computer Science,Senior
Azria Smith,18,0.42,0,10,Marketing,Junior
Josh Taylor,15,0.93,2,57,Marketing,Senior
Manny Garcia,19,0.74,0,27,Bio Med,Junior
Gavin Wilson,17,1.75,2,18,Early College,Senior
Joe Williams,15,2.44,1,16,Engineering,Junior
Cal Williams,19,4.26,3,42,Early College,Junior
Josh Taylor,15,1.88,2,10,Early College,Freshman
Joe Anderson,16,2.48,1,45,Bio Med,Senior
Nate Brown,15,4.06,0,33,Business,Sophomore
Kelsey Martin,18,3.79,0,17,Early College,Junior
Cal Rodriguez,19,2.45,2,21,Early College,Junior
Josh Lopez,19,3.12,2,11,Engineering,Freshman
Josh Taylor,16,2.68,1,9,Bio Med,Freshman
Manny Moore,15,2.5,2,8,Business,Junior
Sam Williams,19,1.78,1,10,Early Childhood Education,Senior
Avery Lopez,14,2.31,0,8,Business,Junior
Josh Jones,14,1.29,3,35,Early Childhood Education,Junior
Sujay Davis,14,1.87,3,50,Early Childhood Education,Junior
Manny Martinez,16,4.12,3,51,Early College,Freshman
Gavin Smith,16,0.81,3,47,Construction,Freshman
Emm Jones,19,3.95,0,8,Early Childhood Education,Junior
Avery Jones,16,2.58,0,14,Early College,Freshman
Sujay Garcia,14,1.77,3,13,Business,Senior
Cal Martin,16,4.28,1,42,Marketing,Senior
Dutch Smith,17,3.95,1,57,Criminal Justice,Junior
Kelsey Lopez,14,4.04,0,38,Bio Med,Sophomore
Azria Anderson,19,2.18,3,30,Bio Med,Freshman
Dutch Thomas,14,1.32,1,40,Construction,Senior
Azria Johnson,18,0.64,3,11,Culinary,Freshman
Azria Brown,15,1.63,0,14,Construction,Freshman
Kelsey Lopez,17,0.79,0,52,Business,Sophomore
Sam Martinez,19,1.2,3,39,Criminal Justice,Senior
Sam Smith,14,0.56,3,55,Marketing,Freshman
Cal Hernandez,16,3.78,2,3,Criminal Justice,Senior
Manny Williams,19,1.96,0,22,Early Childhood Education,Senior
Abby Taylor,19,3.49,3,56,Construction,Junior
Abby Lopez,19,4.27,3,44,Construction,Senior
Manny Miller,18,2.02,2,54,Culinary,Junior
Sujay Davis,16,2.8,0,36,Business,Freshman
Nate Miller,19,0.51,1,18,Engineering,Freshman
Sam Miller,17,2.35,0,49,Construction,Freshman
Cal Martin,17,3.46,2,41,Business,Freshman
Sujay Wilson,18,1.16,0,4,Construction,Senior
Kelsey Thomas,16,2.9,3,49,Construction,Freshman
Avery Jackson,16,2.9,3,33,Early Childhood Education,Freshman
Avery Gonzalez,15,2.87,0,7,Early Childhood Education,Freshman
Emm Jackson,16,2.35,3,33,Marketing,Freshman
Dutch Davis,15,3.14,3,11,Computer Science,Senior
Emm Wilson,14,1.95,1,8,Early Childhood Education,Freshman
Josh Johnson,17,0.52,2,57,Marketing,Sophomore
Sam Jones,18,1.41,2,7,Business,Senior
Manny Wilson,15,0.35,2,33,Culinary,Senior
Vihaan Moore,18,0.44,2,45,Construction,Sophomore
Joe Jones,17,2.3,3,24,Computer Science,Senior
Josh Anderson,14,2.14,1,46,Engineering,Sophomore
Azria Miller,17,3.32,1,45,Culinary,Senior
Avery Hernandez,17,0.92,0,12,Business,Senior
Sujay Martin,19,2.69,2,36,Construction,Junior
Manny Jones,17,3.78,1,13,Business,Sophomore
Abby Martinez,18,3.35,1,56,Early Childhood Education,Sophomore
Dutch Garcia,14,1.86,2,43,Early College,Sophomore
Azria Gonzalez,18,3.14,3,19,Marketing,Senior
Abby Wilson,16,3.64,0,40,Criminal Justice,Freshman
Emm Rodriguez,15,0.55,2,54,Early College,Junior
Alice Brown,18,2.06,1,29,Culinary,Sophomore
Sam Martinez,16,2.93,0,53,Bio Med,Freshman
Kelsey Gonzalez,14,3.1,2,4,Marketing,Junior
Alice Williams,19,1.33,2,49,Bio Med,Senior
Gavin Brown,17,4.37,0,41,Computer Science,Sophomore
Cal Martinez,15,3.84,3,30,Criminal Justice,Freshman
Abby Brown,18,1.47,1,32,Early Childhood Education,Junior
Emm Gonzalez,15,0.8,0,4,Computer Science,Senior
Cal Wilson,16,1.45,1,51,Early Childhood Education,Sophomore
Azria Davis,15,3.9,2,35,Marketing,Sophomore
Azria Lopez,17,2.09,3,54,Early Childhood Education,Senior
Joe Anderson,14,4.16,1,1,Marketing,Sophomore
Avery Lopez,19,0.8,1,28,Culinary,Freshman
Joe Gonzalez,17,1.04,3,36,Construction,Senior
Cal Williams,15,4.18,0,43,Computer Science,Senior
Gavin Jones,17,3.69,1,38,Computer Science,Freshman
Dutch Gonzalez,18,1.67,2,29,Construction,Junior
Manny Moore,15,1.38,1,33,Computer Science,Sophomore
Vihaan Johnson,15,2.83,3,5,Early College,Sophomore
Manny Johnson,18,2.81,0,52,Construction,Senior
Dutch Jackson,14,0.82,1,60,Construction,Junior
Cal Martinez,14,2.23,0,26,Early Childhood Education,Senior
Emm Lopez,19,2.21,2,59,Construction,Junior
Vihaan Gonzalez,18,4.24,1,58,Business,Sophomore
Joe Garcia,14,2.64,1,55,Bio Med,Sophomore
Manny Jackson,18,1.22,3,59,Early Childhood Education,Junior
Nate Jones,19,4.16,1,54,Culinary,Junior
Emm Rodriguez,14,0.48,1,34,Construction,Junior
Emm Rodriguez,18,2.16,2,55,Marketing,Junior
Vihaan Lopez,14,0.74,3,7,Construction,Freshman
Vihaan Rodriguez,17,1.59,1,60,Early College,Junior
Dutch Johnson,16,2.47,1,24,Bio Med,Sophomore
Joe Martin,17,2.42,1,57,Construction,Sophomore
Manny Rodriguez,15,1.9,2,41,Bio Med,Senior
Avery Anderson,16,0.62,0,22,Culinary,Freshman
Nate Martin,17,3.6,2,20,Business,Sophomore
Josh Jones,18,3.96,1,41,Culinary,Freshman
Vihaan Moore,18,3.72,2,53,Construction,Sophomore
Joe Martin,15,2.23,2,48,Bio Med,Junior
Manny Taylor,16,4.28,2,37,Bio Med,Junior
Sujay Smith,16,2.87,3,9,Early College,Junior
Joe Gonzalez,19,2.1,1,28,Early Childhood Education,Senior
Gavin Rodriguez,15,1.02,1,24,Bio Med,Senior
Gavin Lopez,16,4.39,2,50,Business,Junior
Abby Jones,19,0.62,1,24,Early Childhood Education,Junior
Kelsey Anderson,19,2.43,2,31,Early Childhood Education,Freshman
Manny Taylor,14,3.06,3,52,Bio Med,Junior
Sam Miller,17,3.99,2,46,Bio Med,Junior
Sujay Garcia,16,0.66,0,20,Early Childhood Education,Sophomore
Abby Brown,14,3.8,1,15,Criminal Justice,Senior
Cal Lopez,19,1.57,0,9,Criminal Justice,Junior
Vihaan Moore,14,0.63,0,35,Construction,Sophomore
Sam Lopez,15,2.47,2,7,Computer Science,Freshman
Vihaan Moore,16,3.99,0,18,Business,Junior
Alice Gonzalez,18,1.92,2,37,Marketing,Sophomore
Vihaan Moore,19,2.87,1,59,Bio Med,Senior
Vihaan Davis,15,2.87,1,4,Criminal Justice,Senior
Alice Johnson,16,3.91,1,25,Business,Freshman
Sam Moore,18,3.49,2,26,Marketing,Sophomore
Azria Hernandez,14,4.3,3,49,Marketing,Sophomore
Joe Williams,18,2.29,0,50,Criminal Justice,Senior
Gavin Taylor,16,2.88,0,6,Early College,Sophomore
Avery Anderson,17,2.72,3,38,Culinary,Sophomore
Gavin Smith,17,1.3,3,21,Computer Science,Junior
Kelsey Brown,17,4.02,0,11,Bio Med,Junior
Josh Martin,18,1.95,1,53,Criminal Justice,Senior
Joe Garcia,17,0.77,2,18,Engineering,Junior
Kelsey Anderson,16,1.87,3,20,Bio Med,Senior
Cal Anderson,17,1.67,2,39,Business,Freshman
Vihaan Hernandez,19,0.86,3,9,Construction,Freshman
Josh Williams,17,3.84,0,2,Early College,Senior
Gavin Gonzalez,17,3.64,0,17,Computer Science,Junior
Azria Davis,18,2.63,3,44,Marketing,Sophomore
Josh Rodriguez,14,1.9,2,35,Culinary,Junior
Gavin Thomas,17,3.13,0,20,Criminal Justice,Junior
Sam Hernandez,19,1.86,3,45,Construction,Freshman
Manny Jackson,19,1.14,2,50,Bio Med,Sophomore
Manny Martin,17,1.22,0,58,Computer Science,Senior
Sam Williams,18,2.63,1,50,Bio Med,Freshman
Alice Anderson,14,1.7,0,45,Early Childhood Education,Sophomore
Abby Anderson,15,2.19,3,31,Bio Med,Sophomore
Joe Lopez,15,3.61,1,7,Early College,Sophomore
Azria Smith,14,1.76,0,24,Criminal Justice,Freshman
Nate Johnson,16,0.31,1,60,Business,Senior
Alice Hernandez,18,4.21,2,28,Early College,Freshman
Vihaan Moore,16,2.61,3,10,Computer Science,Junior
Vihaan Moore,14,1.49,1,24,Bio Med,Junior
Sam Jackson,18,2.26,3,22,Marketing,Junior
Abby Johnson,18,3.46,1,16,Criminal Justice,Junior
Vihaan Rodriguez,15,1.91,1,52,Culinary,Freshman
Emm Rodriguez,18,1.31,3,22,Culinary,Senior
Josh Taylor,19,1.53,0,47,Computer Science,Sophomore
Azria Martin,16,0.83,0,10,Business,Junior
Sam Jones,14,4.01,3,7,Engineering,Sophomore
Alice Martinez,14,1.98,0,3,Bio Med,Sophomore
Joe Martin,17,2.8,0,52,Computer Science,Freshman
Avery Anderson,14,2.08,0,4,Engineering,Freshman
Joe Rodriguez,18,1.36,2,26,Computer Science,Junior
Gavin Brown,19,0.91,2,39,Computer Science,Freshman
Avery Gonzalez,17,3.47,2,60,Culinary,Freshman
Kelsey Gonzalez,18,0.93,2,46,Construction,Senior
Josh Miller,18,3.85,3,0,Criminal Justice,Freshman
Abby Williams,15,1.92,2,15,Criminal Justice,Senior
Sujay Martinez,14,1.39,2,44,Early College,Sophomore
Sam Lopez,18,1.22,3,53,Business,Freshman
Josh Smith,19,1.55,0,33,Business,Freshman
Sam Jones,17,4.15,3,27,Business,Sophomore
Vihaan Johnson,19,0.38,2,41,Criminal Justice,Senior
Dutch Miller,15,1.21,0,56,Culinary,Freshman
Emm Jones,17,1.67,3,50,Engineering,Sophomore
Alice Miller,17,2.65,0,18,Early College,Junior
Manny Jones,14,4.0,2,50,Computer Science,Senior
Sam Smith,18,0.76,3,7,Computer Science,Senior
Alice Moore,17,2.84,3,30,Construction,Sophomore
Cal Jones,15,4.2,3,44,Construction,Senior
Vihaan Lopez,19,4.13,3,17,Construction,Junior
Gavin Jackson,14,1.99,0,11,Engineering,Junior
Dutch Lopez,18,1.05,3,56,Early Childhood Education,Senior
Joe Johnson,17,3.5,3,39,Early Childhood Education,Freshman
Sam Smith,15,3.64,0,55,Early Childhood Education,Sophomore
Josh Moore,19,3.69,0,59,Marketing,Junior
Abby Jones,14,4.27,3,3,Construction,Freshman
Alice Thomas,17,2.16,0,30,Business,Sophomore
Josh Thomas,19,2.49,0,9,Business,Senior
Kelsey Rodriguez,18,1.18,2,49,Early College,Sophomore
Manny Johnson,14,0.95,1,24,Marketing,Freshman
Kelsey Moore,18,3.09,3,13,Criminal Justice,Sophomore
Gavin Hernandez,15,0.77,0,35,Computer Science,Junior
Nate Davis,19,0.95,3,58,Marketing,Senior
Dutch Johnson,16,3.49,0,41,Culinary,Freshman
Sam Hernandez,18,2.77,0,31,Culinary,Freshman
Emm Taylor,14,2.55,2,2,Engineering,Senior
Manny Gonzalez,15,4.15,3,33,Criminal Justice,Junior
Dutch Taylor,15,2.88,2,28,Construction,Junior
Gavin Thomas,19,3.76,1,37,Business,Senior
Dutch Anderson,17,1.53,3,15,Criminal Justice,Junior
Alice Gonzalez,14,3.73,3,27,Computer Science,Sophomore
Gavin Martinez,14,1.81,3,14,Criminal Justice,Sophomore
Josh Martinez,14,1.19,0,53,Early Childhood Education,Junior
Sam Brown,15,2.72,3,7,Engineering,Sophomore
Dutch Jones,14,3.57,1,54,Bio Med,Sophomore
Abby Anderson,15,4.35,0,41,Construction,Freshman
Gavin Johnson,15,0.67,2,52,Early Childhood Education,Senior
Emm Johnson,14,3.61,3,46,Business,Junior
Emm Martin,17,2.5,0,53,Criminal Justice,Sophomore
Kelsey Miller,17,2.96,2,53,Computer Science,Freshman
Dutch Taylor,15,2.72,3,35,Bio Med,Sophomore
Azria Williams,18,2.24,0,13,Marketing,Junior
Manny Martin,16,3.54,2,5,Bio Med,Senior
Sam Lopez,18,1.79,2,19,Criminal Justice,Freshman
Manny Garcia,18,3.21,0,53,Early Childhood Education,Sophomore
Gavin Brown,16,4.36,2,44,Bio Med,Freshman
Kelsey Moore,17,1.06,0,60,Bio Med,Sophomore
Vihaan Rodriguez,14,3.14,3,47,Computer Science,Sophomore
Alice Johnson,19,3.21,0,35,Bio Med,Freshman
Azria Hernandez,15,1.9,1,14,Bio Med,Sophomore
Nate Garcia,16,1.35,3,41,Criminal Justice,Senior
Josh Johnson,16,3.54,3,25,Engineering,Sophomore
Avery Davis,15,4.07,3,37,Early Childhood Education,Freshman
Nate Williams,19,2.77,0,40,Computer Science,Senior
Kelsey Davis,14,3.1,3,41,Construction,Senior
Vihaan Wilson,18,3.14,0,38,Criminal Justice,Senior
Abby Rodriguez,16,0.99,3,5,Marketing,Junior
Emm Thomas,19,1.57,2,22,Culinary,Junior
Azria Brown,17,2.25,1,3,Business,Junior
Sujay Wilson,18,0.8,3,52,Early Childhood Education,Senior
Joe Johnson,15,1.79,3,32,Business,Freshman
Nate Davis,19,3.57,2,57,Early Childhood Education,Freshman
Avery Davis,17,2.79,2,17,Early College,Sophomore
Alice Smith,15,0.66,3,47,Construction,Junior
Dutch Martinez,17,2.85,1,39,Marketing,Junior
Manny Garcia,18,3.14,0,57,Early Childhood Education,Freshman
Abby Williams,16,1.68,3,57,Marketing,Senior
Gavin Martin,19,1.85,1,20,Early Childhood Education,Senior
Emm Martin,17,1.18,3,19,Criminal Justice,Junior
Avery Davis,14,3.18,0,12,Early Childhood Education,Senior
Emm Gonzalez,17,2.23,3,6,Criminal Justice,Sophomore
Dutch Gonzalez,17,2.4,0,9,Marketing,Sophomore
Sujay Miller,16,2.85,2,49,Culinary,Junior
Cal Rodriguez,19,2.1,0,31,Criminal Justice,Junior
Nate Lopez,19,2.0,2,4,Early College,Sophomore
Nate Johnson,19,0.44,2,11,Business,Junior
Abby Garcia,17,4.31,3,57,Criminal Justice,Sophomore
Gavin Davis,16,3.41,2,32,Construction,Freshman
Manny Martin,16,0.98,1,23,Culinary,Senior
Azria Rodriguez,16,0.63,0,15,Bio Med,Junior
Emm Jones,14,2.79,2,3,Criminal Justice,Sophomore
Vihaan Williams,18,1.95,1,58,Engineering,Junior
Alice Moore,16,1.42,0,44,Business,Sophomore
Avery Moore,18,4.22,1,9,Criminal Justice,Freshman
Sujay Wilson,17,2.81,3,26,Engineering,Freshman
Dutch Johnson,17,1.02,2,32,Bio Med,Sophomore
Sam Moore,18,4.25,3,11,Culinary,Junior
Cal Martinez,17,1.65,2,8,Criminal Justice,Junior
Sam Miller,16,1.8,3,47,Marketing,Senior
Gavin Wilson,14,3.58,0,50,Bio Med,Freshman
Sam Martin,19,3.81,1,9,Marketing,Sophomore
Alice Hernandez,16,2.27,3,32,Business,Freshman
Kelsey Thomas,15,1.52,0,59,Early Childhood Education,Sophomore
Josh Jackson,17,2.48,3,19,Construction,Freshman
Alice Taylor,19,4.19,0,26,Bio Med,Sophomore
Azria Anderson,19,3.22,0,57,Criminal Justice,Senior
Azria Brown,16,0.34,2,57,Engineering,Junior
Nate Miller,16,3.04,2,21,Marketing,Sophomore
Nate Smith,16,1.06,0,53,Bio Med,Senior
Cal Miller,14,1.9,0,48,Early College,Senior
Sujay Williams,18,0.63,1,50,Early Childhood Education,Senior
Manny Johnson,16,3.56,1,20,Business,Senior
Vihaan Martin,16,3.18,1,25,Bio Med,Junior
Alice Jackson,18,0.98,2,43,Early College,Junior
Avery Miller,19,4.13,0,1,Engineering,Sophomore
Josh Martinez,17,2.74,2,18,Engineering,Freshman
Kelsey Smith,19,1.78,1,18,Computer Science,Junior
Dutch Rodriguez,15,0.65,3,42,Computer Science,Senior
Joe Martin,18,4.01,2,41,Engineering,Junior
Josh Martinez,15,2.34,3,49,Criminal Justice,Senior
Dutch Thomas,19,2.35,3,14,Culinary,Junior
Josh Wilson,16,4.26,3,34,Business,Junior
Sujay Martin,19,1.77,3,29,Early College,Sophomore
Joe Brown,19,2.66,3,16,Construction,Sophomore
Kelsey Thomas,16,2.25,1,45,Criminal Justice,Senior
Emm Garcia,17,4.2,1,43,Engineering,Freshman
Abby Garcia,17,3.15,2,59,Marketing,Senior
Joe Taylor,15,1.62,1,42,Early Childhood Education,Junior
Joe Wilson,14,3.52,3,18,Criminal Justice,Sophomore
Dutch Jackson,18,3.53,3,47,Early Childhood Education,Senior
Vihaan Williams,16,3.9,2,25,Culinary,Freshman
Sujay Garcia,16,3.06,3,18,Bio Med,Senior
Sam Smith,14,1.32,1,1,Bio Med,Junior
Gavin Gonzalez,19,3.27,3,44,Engineering,Freshman
Vihaan Taylor,17,3.26,0,42,Early College,Freshman
Kelsey Martin,15,1.53,3,46,Engineering,Senior
Dutch Taylor,19,1.58,3,49,Culinary,Freshman
Manny Taylor,18,1.29,2,16,Criminal Justice,Junior
Kelsey Rodriguez,14,3.77,3,13,Engineering,Junior
Nate Martinez,16,1.2,1,20,Early Childhood Education,Junior
Abby Thomas,16,3.72,0,20,Early College,Freshman
Manny Gonzalez,18,3.73,1,44,Bio Med,Freshman
Azria Davis,19,3.87,2,55,Construction,Sophomore
Dutch Gonzalez,16,0.58,3,44,Bio Med,Junior
Cal Jackson,19,4.01,3,32,Computer Science,Junior
Azria Thomas,18,2.62,1,25,Computer Science,Sophomore
Josh Davis,16,1.16,2,50,Construction,Senior
Vihaan Wilson,19,3.94,3,12,Bio Med,Sophomore
Cal Martin,19,3.28,2,22,Computer Science,Junior
Abby Hernandez,16,2.17,1,28,Marketing,Junior
Abby Jones,16,2.84,1,4,Engineering,Freshman
Avery Thomas,14,1.89,1,19,Construction,Freshman
Sujay Miller,14,2.75,2,38,Business,Senior
Manny Davis,15,0.77,2,48,Marketing,Senior
Cal Rodriguez,17,1.12,3,34,Engineering,Senior
Avery Jackson,18,0.37,1,18,Culinary,Senior
Abby Rodriguez,17,3.76,3,54,Culinary,Freshman
Sujay Smith,15,4.09,0,45,Criminal Justice,Sophomore
Vihaan Smith,17,2.36,3,44,Early Childhood Education,Senior
Avery Jackson,15,1.03,0,44,Computer Science,Senior
Dutch Lopez,16,3.6,1,28,Early College,Junior
Sujay Brown,19,0.66,1,27,Early College,Junior
Dutch Brown,14,4.3,1,60,Engineering,Senior
Sujay Johnson,17,0.65,2,44,Business,Senior
Azria Jones,19,4.07,1,40,Criminal Justice,Freshman
Emm Gonzalez,16,1.88,0,45,Marketing,Junior
Kelsey Taylor,15,3.43,2,52,Criminal Justice,Junior
Manny Johnson,17,4.37,0,24,Construction,Junior
Dutch Hernandez,17,3.18,0,7,Bio Med,Senior
Manny Anderson,19,3.26,3,23,Marketing,Sophomore
Abby Miller,17,1.4,1,29,Construction,Sophomore
Dutch Gonzalez,18,2.43,0,40,Computer Science,Senior
Avery Taylor,15,1.85,2,36,Marketing,Sophomore
Josh Brown,19,0.46,0,21,Bio Med,Senior
Manny Johnson,19,2.13,2,58,Computer Science,Sophomore
Kelsey Johnson,19,1.42,1,47,Business,Sophomore
Joe Smith,18,4.13,3,21,Engineering,Senior
Abby Jackson,17,3.01,2,14,Marketing,Senior
Emm Martinez,18,2.64,0,12,Early College,Junior
Josh Williams,19,0.72,0,2,Early Childhood Education,Junior
Azria Johnson,18,1.99,0,19,Early Childhood Education,Senior
Sam Lopez,16,0.7,0,17,Engineering,Senior
Dutch Garcia,19,3.95,2,44,Construction,Sophomore
Avery Martinez,18,2.88,1,37,Engineering,Junior
Josh Rodriguez,19,2.62,3,56,Early College,Sophomore
Cal Martinez,17,2.56,3,55,Bio Med,Senior
Joe Jones,17,1.5,3,38,Marketing,Senior
Josh Moore,14,1.43,0,42,Marketing,Senior
Emm Williams,18,3.35,1,16,Bio Med,Senior
Emm Brown,16,3.42,1,18,Bio Med,Sophomore
Cal Williams,18,2.05,2,32,Marketing,Sophomore
Dutch Smith,17,3.8,0,38,Culinary,Freshman
Abby Smith,14,4.06,0,44,Criminal Justice,Senior
Sam Taylor,18,3.64,1,59,Culinary,Sophomore
Gavin Hernandez,16,3.56,2,59,Marketing,Senior
Emm Wilson,15,3.7,3,20,Bio Med,Sophomore
Alice Martin,17,1.31,3,17,Early Childhood Education,Sophomore
Azria Wilson,16,2.66,1,31,Computer Science,Freshman
Alice Miller,18,2.07,0,29,Early College,Senior
Josh Jackson,19,2.0,3,49,Culinary,Junior
Kelsey Miller,14,1.33,3,29,Early Childhood Education,Junior
Nate Johnson,19,3.02,3,60,Computer Science,Senior
Dutch Johnson,15,1.56,0,56,Criminal Justice,Sophomore
Cal Jackson,16,2.96,2,39,Early College,Freshman
Alice Lopez,15,1.94,0,27,Criminal Justice,Senior
Emm Moore,17,0.45,2,37,Engineering,Junior
Kelsey Smith,17,0.92,0,50,Computer Science,Sophomore
Nate Gonzalez,15,3.21,0,14,Construction,Sophomore
Dutch Jones,14,4.31,1,4,Criminal Justice,Junior
Joe Moore,17,0.88,0,45,Early College,Sophomore
Dutch Hernandez,14,4.14,0,22,Marketing,Freshman
Nate Wilson,15,3.44,3,17,Bio Med,Freshman
Alice Smith,17,1.11,3,35,Early College,Junior
Dutch Gonzalez,18,4.24,1,1,Construction,Senior
Josh Jones,14,1.77,0,21,Business,Sophomore
Joe Hernandez,15,2.55,3,27,Culinary,Senior
Gavin Martinez,16,2.5,2,6,Criminal Justice,Junior
Sujay Smith,15,3.65,0,3,Computer Science,Freshman
Vihaan Wilson,14,0.98,1,47,Computer Science,Junior
Sujay Taylor,15,2.19,0,27,Computer Science,Senior
Avery Gonzalez,16,1.1,0,32,Early College,Junior
Gavin Williams,15,2.33,3,37,Criminal Justice,Sophomore
Gavin Martin,17,1.39,0,5,Criminal Justice,Senior
Josh Lopez,14,4.31,3,3,Engineering,Sophomore
Dutch Miller,14,2.3,1,31,Early College,Sophomore
Josh Jackson,18,3.52,2,32,Early College,Senior
Abby Martinez,16,1.35,2,17,Computer Science,Senior
Nate Hernandez,15,3.72,0,23,Early Childhood Education,Sophomore
Azria Garcia,16,0.35,0,35,Marketing,Junior
Vihaan Moore,19,2.02,0,6,Criminal Justice,Sophomore
Cal Williams,16,1.63,1,0,Business,Junior
Cal Martin,18,1.06,0,1,Bio Med,Junior
Sam Davis,14,3.94,0,8,Early College,Sophomore
Josh Brown,19,2.4,3,11,Business,Freshman
Vihaan Lopez,19,3.21,0,40,Criminal Justice,Freshman
Sam Hernandez,18,0.91,0,30,Early Childhood Education,Junior
Cal Miller,18,1.49,3,56,Marketing,Freshman
Dutch Martinez,19,3.96,2,36,Criminal Justice,Junior
Manny Jackson,19,1.31,3,33,Early College,Junior
Sam Jackson,18,2.38,0,0,Early College,Senior
Joe Anderson,16,4.11,2,26,Bio Med,Sophomore
Manny Anderson,19,1.11,0,22,Marketing,Junior
Cal Martin,15,3.03,3,26,Business,Senior
Kelsey Lopez,19,4.32,0,30,Engineering,Senior
Sam Smith,15,1.33,2,53,Business,Freshman
Abby Thomas,16,0.84,2,3,Culinary,Sophomore
Azria Hernandez,14,1.73,0,37,Engineering,Senior
Dutch Gonzalez,15,3.35,1,14,Culinary,Sophomore
Sujay Martin,15,2.47,3,30,Marketing,Sophomore
Joe Rodriguez,19,3.73,0,11,Criminal Justice,Sophomore
Azria Lopez,15,0.58,2,12,Computer Science,Sophomore
Sujay Jackson,19,0.63,2,42,Culinary,Senior
Nate Rodriguez,18,3.63,1,49,Construction,Senior
Emm Smith,16,3.51,2,55,Bio Med,Freshman
Kelsey Williams,14,3.3,2,34,Computer Science,Senior
Manny Smith,17,1.92,1,59,Early College,Sophomore
Emm Gonzalez,16,3.47,3,6,Marketing,Junior
Azria Jones,19,2.63,0,39,Early Childhood Education,Sophomore
Abby Smith,17,2.38,1,55,Engineering,Sophomore
Vihaan Williams,19,2.91,1,10,Criminal Justice,Freshman
Vihaan Gonzalez,19,4.3,3,26,Construction,Senior
Manny Johnson,14,0.36,3,27,Early College,Freshman
Josh Jackson,17,1.84,1,35,Culinary,Freshman
Kelsey Wilson,14,3.84,0,16,Business,Senior
Kelsey Wilson,19,1.94,3,1,Engineering,Junior
Josh Jones,16,4.34,2,6,Criminal Justice,Junior
Sujay Miller,19,2.68,2,40,Engineering,Senior
Gavin Martinez,14,1.55,2,17,Construction,Junior
Gavin Taylor,19,1.27,3,44,Culinary,Sophomore
Sam Martin,17,3.07,1,25,Engineering,Freshman
Emm Taylor,18,1.95,0,49,Engineering,Junior
Emm Davis,18,3.1,2,55,Engineering,Senior
Nate Lopez,18,0.57,0,24,Construction,Junior
Vihaan Taylor,18,1.42,1,19,Criminal Justice,Senior
Avery Moore,17,1.92,1,1,Engineering,Freshman
Joe Taylor,14,2.28,1,11,Criminal Justice,Freshman
